,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
333,"((0.2, 0.8), (0.8, 0.2), (0.3, 0.7))",[0.333 0.667],0.2000000024835269,[0.3 0.7],0.26666666666666666,[0.433 0.567]
334,"((0.2, 0.8), (0.8, 0.2), (0.4, 0.6))",[0.4 0.6],0.13333333333333325,[0.4 0.6],0.13333333333333325,[0.467 0.533]
335,"((0.2, 0.8), (0.8, 0.2), (0.5, 0.5))",[0.5 0.5],0.0,[0.5 0.5],0.0,[0.5 0.5]
336,"((0.2, 0.8), (0.8, 0.2), (0.6, 0.4))",[0.6 0.4],0.13333333333333325,[0.6 0.4],0.13333333333333325,[0.533 0.467]
337,"((0.2, 0.8), (0.8, 0.2), (0.7, 0.3))",[0.667 0.333],0.2000000024835269,[0.7 0.3],0.26666666666666666,[0.567 0.433]
338,"((0.2, 0.8), (0.8, 0.2), (0.8, 0.2))",[0.667 0.333],0.1333333358168602,[0.8 0.2],0.4,[0.6 0.4]
339,"((0.2, 0.8), (0.8, 0.2), (0.9, 0.1))",[0.667 0.333],0.06666666915019359,[0.8 0.2],0.3333333333333334,[0.633 0.367]
340,"((0.2, 0.8), (0.8, 0.2), (1.0, 0.0))",[0.667 0.333],7.45058065243498e-09,[0.8 0.2],0.2666666666666667,[0.667 0.333]
341,"((0.2, 0.8), (0.9, 0.1), (0.0, 1.0))",[0.333 0.667],0.06666666915019359,[0.2 0.8],0.3333333333333334,[0.367 0.633]
342,"((0.2, 0.8), (0.9, 0.1), (0.1, 0.9))",[0.333 0.667],0.1333333358168603,[0.2 0.8],0.40000000000000013,[0.4 0.6]
343,"((0.2, 0.8), (0.9, 0.1), (0.2, 0.8))",[0.333 0.667],0.20000000248352678,[0.2 0.8],0.4666666666666666,[0.433 0.567]
344,"((0.2, 0.8), (0.9, 0.1), (0.3, 0.7))",[0.333 0.667],0.2666666691501936,[0.3 0.7],0.33333333333333337,[0.467 0.533]
345,"((0.2, 0.8), (0.9, 0.1), (0.4, 0.6))",[0.4 0.6],0.19999999999999996,[0.4 0.6],0.19999999999999996,[0.5 0.5]
346,"((0.2, 0.8), (0.9, 0.1), (0.5, 0.5))",[0.5 0.5],0.06666666666666671,[0.5 0.5],0.06666666666666671,[0.533 0.467]
347,"((0.2, 0.8), (0.9, 0.1), (0.6, 0.4))",[0.6 0.4],0.06666666666666654,[0.6 0.4],0.06666666666666654,[0.567 0.433]
348,"((0.2, 0.8), (0.9, 0.1), (0.7, 0.3))",[0.667 0.333],0.1333333358168602,[0.7 0.3],0.19999999999999996,[0.6 0.4]
349,"((0.2, 0.8), (0.9, 0.1), (0.8, 0.2))",[0.667 0.333],0.06666666915019348,[0.8 0.2],0.3333333333333333,[0.633 0.367]
350,"((0.2, 0.8), (0.9, 0.1), (0.9, 0.1))",[0.667 0.333],7.45058065243498e-09,[0.9 0.1],0.4666666666666667,[0.667 0.333]
351,"((0.2, 0.8), (0.9, 0.1), (1.0, 0.0))",[0.667 0.333],0.06666666418313988,[0.9 0.1],0.3999999999999999,[0.7 0.3]
352,"((0.2, 0.8), (1.0, 0.0), (0.0, 1.0))",[0.333 0.667],0.1333333358168602,[0.2 0.8],0.4,[0.4 0.6]
353,"((0.2, 0.8), (1.0, 0.0), (0.1, 0.9))",[0.333 0.667],0.20000000248352678,[0.2 0.8],0.4666666666666666,[0.433 0.567]
354,"((0.2, 0.8), (1.0, 0.0), (0.2, 0.8))",[0.333 0.667],0.2666666691501935,[0.2 0.8],0.5333333333333333,[0.467 0.533]
355,"((0.2, 0.8), (1.0, 0.0), (0.3, 0.7))",[0.333 0.667],0.3333333358168602,[0.3 0.7],0.39999999999999997,[0.5 0.5]
356,"((0.2, 0.8), (1.0, 0.0), (0.4, 0.6))",[0.4 0.6],0.26666666666666666,[0.4 0.6],0.26666666666666666,[0.533 0.467]
357,"((0.2, 0.8), (1.0, 0.0), (0.5, 0.5))",[0.5 0.5],0.1333333333333333,[0.5 0.5],0.1333333333333333,[0.567 0.433]
358,"((0.2, 0.8), (1.0, 0.0), (0.6, 0.4))",[0.6 0.4],5.551115123125783e-17,[0.6 0.4],5.551115123125783e-17,[0.6 0.4]
359,"((0.2, 0.8), (1.0, 0.0), (0.7, 0.3))",[0.667 0.333],0.06666666915019359,[0.7 0.3],0.13333333333333336,[0.633 0.367]
360,"((0.2, 0.8), (1.0, 0.0), (0.8, 0.2))",[0.667 0.333],7.45058065243498e-09,[0.8 0.2],0.2666666666666667,[0.667 0.333]
361,"((0.2, 0.8), (1.0, 0.0), (0.9, 0.1))",[0.667 0.333],0.06666666418313988,[0.9 0.1],0.3999999999999999,[0.7 0.3]
362,"((0.2, 0.8), (1.0, 0.0), (1.0, 0.0))",[0.667 0.333],0.13333333084980653,[1. 0.],0.5333333333333332,[0.733 0.267]
363,"((0.3, 0.7), (0.0, 1.0), (0.0, 1.0))",[0.3 0.7],0.4000000000000001,[0. 1.],0.19999999999999996,[0.1 0.9]
364,"((0.3, 0.7), (0.0, 1.0), (0.1, 0.9))",[0.3 0.7],0.33333333333333337,[0.1 0.9],0.06666666666666665,[0.133 0.867]
365,"((0.3, 0.7), (0.0, 1.0), (0.2, 0.8))",[0.3 0.7],0.2666666666666667,[0.2 0.8],0.06666666666666668,[0.167 0.833]
366,"((0.3, 0.7), (0.0, 1.0), (0.3, 0.7))",[0.3 0.7],0.19999999999999998,[0.3 0.7],0.19999999999999998,[0.2 0.8]
367,"((0.3, 0.7), (0.0, 1.0), (0.4, 0.6))",[0.333 0.667],0.1999999975164731,[0.3 0.7],0.13333333333333333,[0.233 0.767]
368,"((0.3, 0.7), (0.0, 1.0), (0.5, 0.5))",[0.333 0.667],0.13333333084980653,[0.3 0.7],0.06666666666666676,[0.267 0.733]
369,"((0.3, 0.7), (0.0, 1.0), (0.6, 0.4))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
